data;geracao
2020-12-04;27.54439
2020-12-05;27.428098
2020-12-06;26.141458
2020-12-07;24.755537
2020-12-08;25.372224
2020-12-09;27.052846
2020-12-10;27.01352
2020-12-11;27.132353
2020-12-12;26.481291
2020-12-13;26.279501
2020-12-14;27.183046
2020-12-15;24.935419
2020-12-16;24.763612
2020-12-17;25.958359
2020-12-18;24.949207
2020-12-19;23.977645
2020-12-20;22.867287
2020-12-21;24.590876
2020-12-22;25.561536
2020-12-23;25.534107
2020-12-24;24.183042
2020-12-25;22.435383
2020-12-26;22.452993
2020-12-27;22.889017
2020-12-28;24.49237
2020-12-29;24.524423
2020-12-30;23.104828
2020-12-31;23.170982
2021-01-01;22.876548
2021-01-02;24.64027
2021-01-03;21.461506
2021-01-04;23.42042
2021-01-05;24.242198
2021-01-06;24.26029
2021-01-07;24.438743
2021-01-08;24.468529
2021-01-09;22.918686
2021-01-10;21.40107
2021-01-11;23.188436
2021-01-12;24.41881
2021-01-13;24.584808
2021-01-14;24.128374
2021-01-15;22.547007
2021-01-16;22.821112
2021-01-17;23.467538
2021-01-18;23.886394
2021-01-19;23.916666
2021-01-20;22.455709
2021-01-21;22.101859
2021-01-22;24.064171
2021-01-23;24.344743
2021-01-24;23.330523
2021-01-25;24.001792
2021-01-26;23.362297
2021-01-27;22.528331
2021-01-28;22.316018
2021-01-29;21.606677
2021-01-30;20.137513
2021-01-31;22.103055
2021-02-01;24.910229
2021-02-02;24.14827
2021-02-03;23.173112
2021-02-04;25.66613
2021-02-05;26.333276
2021-02-06;23.375564
2021-02-07;21.869725
2021-02-08;23.66705
2021-02-09;24.703644
2021-02-10;25.279392
2021-02-11;25.976613
2021-02-12;24.956882
2021-02-13;21.232069
2021-02-14;18.680598
2021-02-15;21.060376
2021-02-16;21.526862
2021-02-17;23.640704
2021-02-18;26.587846
2021-02-19;27.336431
2021-02-20;22.088495
2021-02-21;21.583705
2021-02-22;25.81373
2021-02-23;26.765301
2021-02-24;26.786506
2021-02-25;24.367097
2021-02-26;23.835158
2021-02-27;24.033021
2021-02-28;21.644375
2021-03-01;23.928258
2021-03-02;24.082691
2021-03-03;22.846515
2021-03-04;23.090688
2021-03-05;24.137037
2021-03-06;22.420092
2021-03-07;21.813698
2021-03-08;24.057632
